meta__row_id,plot_order_index,meta__record_id,time_index,event_step,event_time,machine_status,episode_phase,detection_class,cascade_final_flag,stage2_score,stage2_model_decision,selected_final_alert_flag,forward_normal_like_run_length,is_broken_row
17154,17154,11031252919804255274,17154,17154,2018-04-12 21:54:00+00:00,NORMAL,pre_failure,early_warning,1,0.6080002852303222,-0.10800028523032223,1,0,0
17164,17164,18117959071609779637,17164,17164,2018-04-12 22:04:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6081135559862265,-0.10811355598622652,1,0,0
17170,17170,14785262232998047494,17170,17170,2018-04-12 22:10:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6132243939035682,-0.1132243939035682,1,0,0
17171,17171,9449772189020246715,17171,17171,2018-04-12 22:11:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6182431571907065,-0.11824315719070655,1,0,0
17172,17172,4736858159368436291,17172,17172,2018-04-12 22:12:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6201132826034859,-0.12011328260348586,1,0,0
17173,17173,566029785064562887,17173,17173,2018-04-12 22:13:00+00:00,RECOVERING,recovery,recovery_alert,1,0.625703711487749,-0.12570371148774895,1,0,0
17174,17174,6509300395581291986,17174,17174,2018-04-12 22:14:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6195649449572018,-0.11956494495720182,1,0,0
17175,17175,12388438466426048338,17175,17175,2018-04-12 22:15:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6299231560358428,-0.1299231560358428,1,0,0
17176,17176,10276256917482118888,17176,17176,2018-04-12 22:16:00+00:00,RECOVERING,recovery,recovery_alert,1,0.628254066749203,-0.12825406674920303,1,0,0
17177,17177,6950846319895098297,17177,17177,2018-04-12 22:17:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6291293903873131,-0.12912939038731308,1,0,0
17178,17178,2030514300273045390,17178,17178,2018-04-12 22:18:00+00:00,RECOVERING,recovery,recovery_alert,1,0.625807509967406,-0.12580750996740597,1,0,0
17179,17179,4878410307507881214,17179,17179,2018-04-12 22:19:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6242281579375558,-0.12422815793755582,1,0,0
17180,17180,8748939472429564922,17180,17180,2018-04-12 22:20:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6197570958963002,-0.11975709589630024,1,0,0
17181,17181,14996039685110361878,17181,17181,2018-04-12 22:21:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6306484163995884,-0.13064841639958835,1,0,0
17182,17182,7206084458209524558,17182,17182,2018-04-12 22:22:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6241030503108247,-0.12410305031082469,1,0,0
17183,17183,13435382613750051440,17183,17183,2018-04-12 22:23:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6263538085224187,-0.12635380852241873,1,0,0
17184,17184,4790881740089207053,17184,17184,2018-04-12 22:24:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6230926569693859,-0.12309265696938587,1,0,0
17185,17185,5594960114756786481,17185,17185,2018-04-12 22:25:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6263538085224187,-0.12635380852241873,1,0,0
17186,17186,13288318740863859288,17186,17186,2018-04-12 22:26:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6220275450215768,-0.12202754502157676,1,0,0
17187,17187,765852411956205598,17187,17187,2018-04-12 22:27:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6148524601245792,-0.11485246012457917,1,0,0
17482,17482,13848697117816655863,17482,17482,2018-04-13 03:22:00+00:00,RECOVERING,stable_normal,false_positive,1,0.6085441334922822,-0.1085441334922822,1,0,0
17827,17827,7464850374359175014,17827,17827,2018-04-13 09:07:00+00:00,RECOVERING,stable_normal,false_positive,1,0.60892802971024,-0.10892802971023996,1,0,0
17895,17895,253207142743038164,17895,17895,2018-04-13 10:15:00+00:00,RECOVERING,stable_normal,false_positive,1,0.6115253120625587,-0.11152531206255867,1,0,0
17897,17897,3312305862604477497,17897,17897,2018-04-13 10:17:00+00:00,RECOVERING,stable_normal,false_positive,1,0.617396742127256,-0.11739674212725604,1,0,0
17898,17898,1493717556086939865,17898,17898,2018-04-13 10:18:00+00:00,RECOVERING,stable_normal,false_positive,1,0.6116801596245629,-0.1116801596245629,1,0,0
17899,17899,12699110037557451008,17899,17899,2018-04-13 10:19:00+00:00,RECOVERING,stable_normal,false_positive,1,0.616127237965995,-0.116127237965995,1,0,0
17939,17939,15761893314759803023,17939,17939,2018-04-13 10:59:00+00:00,RECOVERING,stable_normal,false_positive,1,0.6134624798354279,-0.1134624798354279,1,0,0
18101,18101,828767971102457257,18101,18101,2018-04-13 13:41:00+00:00,NORMAL,stable_normal,false_positive,1,0.611671794003697,-0.11167179400369698,1,0,0
18227,18227,14388572979097928954,18227,18227,2018-04-13 15:47:00+00:00,NORMAL,stable_normal,false_positive,1,0.6130406548416116,-0.11304065484161163,1,0,0
18251,18251,3522982019667598299,18251,18251,2018-04-13 16:11:00+00:00,NORMAL,stable_normal,false_positive,1,0.6207040748935132,-0.1207040748935132,1,0,0
18252,18252,12255592315540266967,18252,18252,2018-04-13 16:12:00+00:00,NORMAL,stable_normal,false_positive,1,0.6348316266074526,-0.13483162660745263,1,0,0
18253,18253,6149546409541215273,18253,18253,2018-04-13 16:13:00+00:00,NORMAL,stable_normal,false_positive,1,0.6457629344665066,-0.14576293446650657,1,0,0
18254,18254,16615275554788269338,18254,18254,2018-04-13 16:14:00+00:00,NORMAL,stable_normal,false_positive,1,0.6547409888077261,-0.15474098880772613,1,0,0
18255,18255,10598092722309393939,18255,18255,2018-04-13 16:15:00+00:00,NORMAL,stable_normal,false_positive,1,0.65389103639404,-0.15389103639404,1,0,0
18256,18256,211953079559464653,18256,18256,2018-04-13 16:16:00+00:00,NORMAL,stable_normal,false_positive,1,0.6522906834339963,-0.15229068343399632,1,0,0
18257,18257,15976325818090888630,18257,18257,2018-04-13 16:17:00+00:00,NORMAL,stable_normal,false_positive,1,0.6600442601475048,-0.16004426014750484,1,0,0
18258,18258,8154017952318701181,18258,18258,2018-04-13 16:18:00+00:00,NORMAL,stable_normal,false_positive,1,0.6596173488939069,-0.15961734889390689,1,0,0
18259,18259,7323076169823906819,18259,18259,2018-04-13 16:19:00+00:00,NORMAL,stable_normal,false_positive,1,0.657585680562068,-0.157585680562068,1,0,0
18260,18260,3462190022302547013,18260,18260,2018-04-13 16:20:00+00:00,NORMAL,stable_normal,false_positive,1,0.6749019767580392,-0.1749019767580392,1,0,0
18261,18261,1980502187433926213,18261,18261,2018-04-13 16:21:00+00:00,NORMAL,stable_normal,false_positive,1,0.6825538054922256,-0.18255380549222555,1,0,0
18262,18262,1221029032645779145,18262,18262,2018-04-13 16:22:00+00:00,NORMAL,stable_normal,false_positive,1,0.6942088711490482,-0.19420887114904817,1,0,0
18263,18263,5574446775581021177,18263,18263,2018-04-13 16:23:00+00:00,NORMAL,stable_normal,false_positive,1,0.6917673031151187,-0.1917673031151187,1,0,0
18264,18264,7325221041332785127,18264,18264,2018-04-13 16:24:00+00:00,NORMAL,stable_normal,false_positive,1,0.6843190463136668,-0.1843190463136668,1,0,0
18265,18265,15326875191948623272,18265,18265,2018-04-13 16:25:00+00:00,NORMAL,stable_normal,false_positive,1,0.6800520907343534,-0.18005209073435335,1,0,0
18266,18266,7971665904833878372,18266,18266,2018-04-13 16:26:00+00:00,NORMAL,stable_normal,false_positive,1,0.6865358685331138,-0.18653586853311377,1,0,0
