,sensor_07,sensor_09,sensor_08,sensor_04,sensor_00,sensor_06,sensor_10,sensor_02,sensor_11,sensor_12,sensor_01,sensor_03,sensor_05,sensor_38,sensor_40,sensor_48,sensor_49,sensor_13,sensor_47,sensor_44,sensor_46,sensor_45,sensor_28,sensor_43,sensor_31
sensor_07,1.0,0.6758124270332627,0.8058262439156303,0.4956293677295152,0.5727825847560788,0.6777618489497138,0.38813243313008877,0.2072557772879981,0.5761749675734381,0.35199744639247077,0.18901446431883615,0.3134843272742893,0.14710983786820575,0.043960230985145836,0.2217677024538152,0.3640034674257919,0.22805021196027284,0.3437569663463156,0.11667100227533016,0.18049478046160264,0.13263052175811535,0.10431805269239097,-0.0887757912382957,0.07896120957974968,0.023963508382210036
sensor_09,0.6758124270332627,1.0,0.7521974051647089,0.35393624652890204,0.43884329135621886,0.45710746767361354,0.329203583512277,0.1476660006836591,0.3326198842964832,0.17876549731723423,0.1612523216787532,0.21756161290591847,0.12333362931131117,0.052752346837182565,0.12509175286946192,0.16225806259340497,0.06899889752747189,0.17202012139320344,0.11094157011049406,0.08547765765593938,0.06918680460995348,0.03709660174566636,0.008983376531194237,0.05647078147088415,0.046140205541443914
sensor_08,0.8058262439156303,0.7521974051647089,1.0,0.3907219204150922,0.45927966030174205,0.6095529357945311,0.3177171021819553,0.12413818592558928,0.4779336462176139,0.2802618886664535,0.22118191440102242,0.2632167482562866,0.09973450466875025,0.05068386095440115,0.20016787086846705,0.3025599423170608,0.19880720425023188,0.32270815217250376,0.13684333876543986,0.18592010438674206,0.12275511933742517,0.1016089364330525,-0.021621065827556348,0.08231995056439007,0.05443407182833993
sensor_04,0.4956293677295152,0.35393624652890204,0.3907219204150922,1.0,0.915239723007471,0.5774448006357665,0.6497525056338888,0.3680756572376572,0.56536239363374,0.48408994204149614,0.09480216485558259,0.2251530082048293,0.4285450142958835,0.011255441374606571,0.07176788926934134,0.18400531869539696,0.08427610501663607,0.10936872734261197,-0.040215455376099066,-0.010432584279187817,-0.09158009932195342,-0.0847142359767327,-0.027494997188825115,-0.04975209716937692,0.01734697894383912
sensor_00,0.5727825847560788,0.43884329135621886,0.45927966030174205,0.915239723007471,1.0,0.6190323932576298,0.70124587947395,0.43866846774051016,0.5713870450370199,0.4897000220400398,0.09179898624941044,0.2860388256635968,0.3995539581634253,-0.004423860845637917,0.068693698781891,0.19839642779686478,0.08732577497667157,0.10607799242554558,-0.019204601942810692,-0.0237938486933403,-0.06300559488485186,-0.06853801307972726,-0.04458542875824868,-0.05677224663548636,0.002311743652500281
sensor_06,0.6777618489497138,0.45710746767361354,0.6095529357945311,0.5774448006357665,0.6190323932576298,1.0,0.5085350226127267,0.21078034395156578,0.6266271433800451,0.46555350495586917,0.15379332791124925,0.37985609885915533,0.0565746696180519,0.019028902223917423,0.27623017373560876,0.5419753463960969,0.32757717506835654,0.5224666149374032,0.13721977797273704,0.24117559407891911,0.21109378098031606,0.13264143287771635,-0.036024364219192875,0.0728813348318073,0.12384905824396769
sensor_10,0.38813243313008877,0.329203583512277,0.3177171021819553,0.6497525056338888,0.70124587947395,0.5085350226127267,1.0,0.23417609418209948,0.38152242508820094,0.32624421960067407,0.002070060446567228,0.14872247606290417,0.24350016876916442,0.04502742595311907,0.15133545436089477,0.12699192483418958,-0.02632973343148729,0.10030171116209916,0.2523305717055215,0.0014812156443056704,0.09317792571601477,-0.08792714799665974,0.0954511012673756,0.09989220833004615,0.10311349212951412
sensor_02,0.2072557772879981,0.1476660006836591,0.12413818592558928,0.3680756572376572,0.43866846774051016,0.21078034395156578,0.23417609418209948,1.0,0.17749521899967105,0.2559459383469434,0.27719777366296916,0.6019062547956975,0.1085535225077613,0.07780981711907825,0.010927290186368066,0.15885724031135234,0.14872582290007247,-0.04803731732403259,0.04939760180471597,0.05508156380561253,0.04312927957685258,0.08296491020254226,-0.1273831040622287,0.04864153224904487,-0.08571754818924904
sensor_11,0.5761749675734381,0.3326198842964832,0.4779336462176139,0.56536239363374,0.5713870450370199,0.6266271433800451,0.38152242508820094,0.17749521899967105,1.0,0.5609084780122822,0.007759247516292713,0.3503824394270576,0.1227272967901103,-0.027366785384164944,0.2516338179019329,0.5019647041722162,0.32796879130880624,0.4527531609370177,0.03914217194187905,0.16908701641453663,0.09330283950584235,0.10236444444107341,-0.11060345173040718,0.04426919926604972,0.04834306964491578
sensor_12,0.35199744639247077,0.17876549731723423,0.2802618886664535,0.48408994204149614,0.4897000220400398,0.46555350495586917,0.32624421960067407,0.2559459383469434,0.5609084780122822,1.0,-0.00921275178878354,0.27714531791288466,0.13842002539801132,-0.023399915805879325,0.13978847272516795,0.3670169579375971,0.26701328261821106,0.3041316107978551,0.00413333258061878,0.11063184905805702,0.06761163732758442,0.07591572193514295,-0.09506657273229786,0.009566578512693867,0.021269683749904098
