sensor_primary,sensor_secondary,fault_coupling_strength,lag_cycles,recommended_secondary_fault
sensor_16,sensor_24,0.95,0,variance_burst
sensor_38,sensor_43,0.95,0,variance_burst
sensor_18,sensor_24,0.95,0,variance_burst
sensor_17,sensor_27,0.95,0,variance_burst
sensor_18,sensor_28,0.95,0,variance_burst
sensor_18,sensor_23,0.95,0,variance_burst
sensor_18,sensor_31,0.95,0,variance_burst
sensor_16,sensor_27,0.95,0,variance_burst
sensor_17,sensor_24,0.95,0,variance_burst
sensor_14,sensor_24,0.95,0,variance_burst
sensor_40,sensor_42,0.95,0,variance_burst
sensor_20,sensor_25,0.95,0,variance_burst
sensor_18,sensor_30,0.95,0,variance_burst
sensor_14,sensor_30,0.95,0,variance_burst
sensor_21,sensor_24,0.95,0,variance_burst
sensor_20,sensor_28,0.95,0,variance_burst
sensor_14,sensor_28,0.95,0,variance_burst
sensor_20,sensor_24,0.95,0,variance_burst
sensor_27,sensor_33,0.95,0,variance_burst
sensor_17,sensor_31,0.95,0,variance_burst
sensor_14,sensor_23,0.95,0,variance_burst
sensor_21,sensor_25,0.95,0,variance_burst
sensor_14,sensor_27,0.95,0,variance_burst
sensor_27,sensor_31,0.95,0,variance_burst
sensor_20,sensor_30,0.95,0,variance_burst
sensor_19,sensor_30,0.95,0,variance_burst
sensor_17,sensor_23,0.95,0,variance_burst
sensor_21,sensor_30,0.95,0,variance_burst
sensor_19,sensor_24,0.95,0,variance_burst
sensor_17,sensor_30,0.95,0,variance_burst
sensor_17,sensor_28,0.95,0,variance_burst
sensor_16,sensor_31,0.95,0,variance_burst
sensor_14,sensor_31,0.95,0,variance_burst
sensor_16,sensor_30,0.95,0,variance_burst
sensor_19,sensor_25,0.9490482481194193,0,variance_burst
sensor_16,sensor_28,0.9481465146968365,0,variance_burst
sensor_18,sensor_27,0.9474802168906803,0,variance_burst
sensor_18,sensor_22,0.9453244250795454,0,variance_burst
sensor_17,sensor_22,0.941972571621082,0,variance_burst
sensor_16,sensor_25,0.941714454050472,0,variance_burst
sensor_16,sensor_33,0.9416205984457385,0,variance_burst
sensor_25,sensor_31,0.938990955871519,0,variance_burst
sensor_20,sensor_31,0.9384197956344966,0,variance_burst
sensor_14,sensor_33,0.9351182584419856,0,variance_burst
sensor_41,sensor_46,0.9314228864919484,0,variance_burst
sensor_19,sensor_26,0.9313117263002069,0,variance_burst
sensor_21,sensor_26,0.9300005550326994,0,variance_burst
sensor_38,sensor_46,0.9293737768718685,0,variance_burst
sensor_17,sensor_33,0.9279708771838557,0,variance_burst
sensor_16,sensor_22,0.9245236361755503,0,variance_burst
sensor_25,sensor_28,0.9241676197639205,0,variance_burst
sensor_18,sensor_33,0.9229186418866698,0,variance_burst
sensor_23,sensor_25,0.9223790747941846,0,variance_burst
sensor_20,sensor_33,0.9219618535324862,0,variance_burst
sensor_16,sensor_23,0.9216864802353785,0,variance_burst
sensor_24,sensor_33,0.9206471825017982,0,variance_burst
sensor_18,sensor_26,0.9200943240656378,0,variance_burst
sensor_17,sensor_25,0.9188436059122668,0,variance_burst
sensor_18,sensor_25,0.9170650834874897,0,variance_burst
sensor_17,sensor_26,0.9168334263983813,0,variance_burst
sensor_14,sensor_26,0.9150270502070961,0,variance_burst
sensor_24,sensor_31,0.9141497829247689,0,variance_burst
sensor_01,sensor_51,0.9131046875007542,0,variance_burst
sensor_20,sensor_27,0.9129570171173915,0,variance_burst
sensor_14,sensor_25,0.9123816013599698,0,variance_burst
sensor_21,sensor_31,0.9122583093299322,0,variance_burst
sensor_24,sensor_27,0.9121237345882889,0,variance_burst
sensor_16,sensor_26,0.9049262970779692,0,variance_burst
sensor_20,sensor_26,0.9048857341844782,0,variance_burst
sensor_39,sensor_40,0.9038072512604967,0,variance_burst
sensor_26,sensor_27,0.9035597272001019,0,variance_burst
sensor_10,sensor_33,0.9032488798543534,0,variance_burst
sensor_19,sensor_31,0.9007610266790873,0,variance_burst
sensor_24,sensor_25,0.8950262874735697,0,variance_burst
sensor_14,sensor_22,0.894894174248469,0,variance_burst
sensor_39,sensor_43,0.8948378234837768,0,variance_burst
sensor_17,sensor_21,0.8896886056363039,0,variance_burst
sensor_30,sensor_31,0.8850948679848709,0,variance_burst
sensor_18,sensor_21,0.8842675658951441,0,variance_burst
sensor_24,sensor_30,0.88344456830118,0,variance_burst
sensor_22,sensor_31,0.8824072562060994,0,variance_burst
sensor_14,sensor_32,0.8821599037103705,0,variance_burst
sensor_21,sensor_28,0.8816654617849655,0,variance_burst
sensor_25,sensor_30,0.8816610902672644,0,variance_burst
